Symbol,Strategy,Date,Action,Price,Reason,Side,Net Profit,Cumulative Net Profit,N,L,Signal Date,Signal_Rolling_High,Signal_Rolling_Low,entry_close_t,exit_close_t,EntryPrice
0050,S2 Trend-Short,2022-11-08,BUYTOCOVER,102.75,收盤 > N日高,short,12.15,11.700000000000001,10,20,2022-11-07,100.85,96.5,115.15,101.6,114.9
0050,S2 Trend-Short,2022-12-20,SELLSHORT,110.6,收盤 < L日低,short,0.0,11.700000000000001,10,20,2022-12-19,116.8,112.0,110.3,,
0050,S2 Trend-Short,2023-01-09,BUYTOCOVER,116.15,收盤 > N日高,short,-5.55,6.150000000000001,10,20,2023-01-08,112.25,108.4,110.3,115.8,110.6
0050,S2 Trend-Short,2023-04-24,SELLSHORT,118.1,收盤 < L日低,short,0.0,6.150000000000001,10,20,2023-04-23,121.65,118.4,118.15,,
0050,S2 Trend-Short,2023-05-17,BUYTOCOVER,122.0,收盤 > N日高,short,-3.9,2.2500000000000013,10,20,2023-05-16,119.0,115.5,118.15,120.55,118.1
0050,S2 Trend-Short,2023-08-14,SELLSHORT,125.05,收盤 < L日低,short,0.0,2.2500000000000013,10,20,2023-08-13,130.65,126.15,124.5,,
0050,S2 Trend-Short,2023-09-14,BUYTOCOVER,127.2,收盤 > N日高,short,-2.15,0.10000000000000142,10,20,2023-09-13,126.8,122.9,124.5,126.95,125.05
0050,S2 Trend-Short,2023-09-21,SELLSHORT,122.25,收盤 < L日低,short,0.0,0.10000000000000142,10,20,2023-09-20,127.35,123.4,122.75,,
0050,S2 Trend-Short,2023-10-11,BUYTOCOVER,126.7,收盤 > N日高,short,-4.45,-4.349999999999999,10,20,2023-10-10,124.5,121.35,122.75,126.25,122.25
0050,S2 Trend-Short,2023-10-31,SELLSHORT,121.8,收盤 < L日低,short,0.0,-4.349999999999999,10,20,2023-10-30,127.0,121.35,121.15,,
0050,S2 Trend-Short,2023-11-06,BUYTOCOVER,126.7,收盤 > N日高,short,-4.9,-9.25,10,20,2023-11-05,125.6,121.1,121.15,126.55,121.8
0050,S2 Trend-Short,2024-01-16,SELLSHORT,129.8,收盤 < L日低,short,0.0,-9.25,10,20,2024-01-15,135.95,131.95,131.65,,
0050,S2 Trend-Short,2024-01-25,BUYTOCOVER,135.85,收盤 > N日高,short,-6.05,-15.3,10,20,2024-01-24,134.4,127.3,131.65,135.65,129.8
0050,S2 Trend-Short,2024-04-21,SELLSHORT,150.2,收盤 < L日低,short,0.0,-15.3,10,20,2024-04-18,163.35,153.0,150.9,,
0050,S2 Trend-Short,2024-05-08,BUYTOCOVER,160.95,收盤 > N日高,short,-10.75,-26.05,10,20,2024-05-07,160.55,149.5,150.9,160.7,150.2
0050,S2 Trend-Short,2024-07-22,SELLSHORT,183.5,收盤 < L日低,short,0.0,-26.05,10,20,2024-07-21,202.8,180.8,180.7,,
0050,S2 Trend-Short,2024-08-18,BUYTOCOVER,183.7,收盤 > N日高,short,-0.2,-26.25,10,20,2024-08-15,181.85,158.4,180.7,183.4,183.5
